_time,bad_hall_sequence,bridge_pwm_flag,bus_current,bus_current_flag,bus_voltage,bus_voltage_lower_limit_flag,bus_voltage_upper_limit_flag,config_read_error,current_setpoint,dc_bus_overvoltage,desired_velocity,heat_sink_temp_flag,heatsink_temperature,hw_overcurrent,motor_current_flag,motor_temperature,motor_velocity,phase_a_current,phase_b_current,sw_overcurrent,undervoltage_lockout,vehicle_velocity,velocity_flag,watchdog_reset
2023-09-30T22:42:30Z,0.0,0.0,0.954819679260254,0.0,104.68573425293,0.0,0.0,0.0,0.076508199175199,0.0,-2.32323232323232,0.0,23.4449768066406,0.0,0.208333333333333,30.4889221191406,-71.0286690848214,17.1082258224487,17.7085638046265,0.0,0.0,-1.71076427187238,0.0,0.0
2023-09-30T22:42:40Z,0.0,0.0,0.0,0.0,104.799636077881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.4325744628906,0.0,0.0,30.2999572753906,0.0,0.275671482086182,0.292515754699707,0.0,0.0,0.0,0.0,0.0
2023-09-30T22:42:50Z,0.0,0.0,0.0,0.0,104.839696502686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.3199768066406,0.0,0.0,29.9620666503906,0.0,0.241672992706299,0.264137983322144,0.0,0.0,0.0,0.0,0.0
2023-09-30T22:43:00Z,0.0,0.0,0.0,0.0,104.870239257813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.2569885253906,0.0,0.0,29.7867736816406,0.0,0.258374214172363,0.29296875,0.0,0.0,0.0,0.0,0.0
2023-09-30T22:43:10Z,0.0,0.0,0.0,0.0,104.877522945404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.1730041503906,0.0,0.0,29.5523289271763,0.0,0.255765914916992,0.329413414001465,0.0,0.0,0.0,0.0,0.0
2023-09-30T22:43:20Z,0.0,0.0,0.0,0.0,104.901621137347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.1100158691406,0.0,0.0,29.4588928222656,0.0,0.236372152964274,0.281123320261637,0.0,0.0,0.0,0.0,0.0
2023-09-30T22:43:30Z,0.0,0.0,0.0,0.0,104.931996432218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0470275878906,0.0,0.0,29.3712463378906,0.0,0.269031524658203,0.301766395568848,0.0,0.0,0.0,0.0,0.0
2023-09-30T22:43:40Z,0.0,0.0,0.0,0.0,104.925060272217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0060119628906,0.0,0.0,29.3282775878906,0.0,0.1953125,0.345194339752197,0.0,0.0,0.0,0.0,0.0
2023-09-30T22:50:30Z,0.0,0.0,0.0,0.0,105.026856994629,0.0,0.0,0.0,,0.0,,0.0,21.4247619628906,0.0,0.0,9.71402130126953,0.0,,,0.0,0.0,0.0,0.0,0.0
2023-09-30T22:50:40Z,0.0,0.0,0.0,0.0,105.060949152166,0.0,0.0,0.0,,0.0,,0.0,21.4039611816406,0.0,0.0,30.6866760253906,,0.300049781799316,0.257706642150879,0.0,0.0,,0.0,0.0
2023-09-30T22:50:50Z,0.0,0.0,0.0,0.0,105.057656606038,0.0,0.0,0.0,,0.0,,0.0,21.3829650878906,0.0,0.0,30.7086486816406,,0.257706642150879,0.323557853698731,0.0,0.0,,0.0,0.0
2023-09-30T22:51:00Z,0.0,0.0,0.0,0.0,104.920742034912,0.0,0.0,0.0,,0.0,,0.0,21.3829650878906,0.0,0.0,30.6866760253906,,0.207161903381348,0.28458833694458,0.0,0.0,,0.0,0.0
2023-09-30T22:51:10Z,0.0,0.0,0.0,0.0,104.82078742981,0.0,0.0,0.0,,0.0,,0.0,21.3419494628906,0.0,0.0,30.6720275878906,0.0,0.09765625,0.258374214172363,0.0,0.0,0.0,0.0,0.0
2023-09-30T22:51:20Z,0.0,0.0,0.0,0.0,105.059440612793,0.0,0.0,0.0,,0.0,,0.0,21.3214416503906,0.0,0.0,30.6647033691406,0.0,0.29296875,0.27620792388916,0.0,0.0,0.0,0.0,0.0
2023-09-30T22:51:30Z,0.0,0.0,0.0,0.0,104.853129916721,0.0,0.0,0.0,,0.0,,0.0,21.3009338378906,0.0,0.0,30.6866760253906,,,,0.0,0.0,,0.0,0.0
2023-09-30T22:51:40Z,0.0,0.0,0.0,0.0,105.059503035112,0.0,0.0,0.0,,0.0,,0.0,21.2589416503906,0.0,0.0,30.6647033691406,0.0,0.292515754699707,0.300896167755127,0.0,0.0,0.0,0.0,0.0
2023-09-30T22:51:50Z,0.0,0.0,0.0,0.0,105.080847846137,0.0,0.0,0.0,,0.0,,0.0,21.2384338378906,0.0,0.0,30.6427307128906,,,,0.0,0.0,,0.0,0.0
2023-09-30T22:52:00Z,0.0,0.0,0.0,0.0,105.019821166992,0.0,0.0,0.0,,0.0,,0.0,21.1974182128906,0.0,0.0,-21.7229881286621,,0.239205360412598,0.27620792388916,0.0,0.0,,0.0,0.0
2023-09-30T22:52:10Z,0.0,0.0,0.0,0.0,105.043587493896,0.0,0.0,0.0,,0.0,,0.0,21.2015197753906,0.0,0.0,30.6427307128906,0.0,0.1953125,0.239205360412598,0.0,0.0,0.0,0.0,0.0
2023-09-30T22:52:20Z,0.0,0.0,0.0,0.0,105.05055770874,0.0,0.0,0.0,,0.0,,0.0,21.1769104003906,0.0,0.0,30.7416076660156,,0.29296875,0.218367576599121,0.0,0.0,,0.0,0.0
2023-09-30T22:52:30Z,0.0,0.0,0.0,0.0,105.0485294887,0.0,0.0,0.0,,0.0,,0.0,21.1349182128906,0.0,0.0,30.7086486816406,,,,0.0,0.0,,0.0,0.0
2023-09-30T22:52:40Z,0.0,0.0,0.0,0.0,105.055671691895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.1349182128906,0.0,0.0,30.7086486816406,0.0,0.252068042755127,0.304496288299561,0.0,0.0,0.0,0.0,0.0
2023-09-30T22:52:50Z,0.0,0.0,0.61297303154355,0.0,105.021514892578,0.0,0.0,0.0,0.063295295347973,0.0,-0.816326530612245,0.0,21.0939025878906,0.0,0.040816326530612,30.7855529785156,-1.43816045920054,25.7606585820516,1.67417526245117,0.0,0.0,-0.034638879199823,0.0,0.0
2023-09-30T22:53:00Z,0.0,0.068181818181818,10.2825353622437,0.0,104.024382527669,0.0,0.0,0.0,0.718596990791059,0.0,-9.1304347826087,0.0,21.1869201660156,0.0,0.840909090909091,30.9400939941406,-35.1157255172729,54.3209278583527,46.6985788345337,0.0,0.0,-0.845781421861969,0.0,0.0
2023-09-30T22:53:10Z,0.0,0.020833333333333,3.81965296609061,0.0,104.398432050432,0.0,0.0,0.0,0.232014973293585,0.0,-6.08695652173913,0.0,21.4109598795573,0.0,0.520833333333333,31.1863505045573,-58.451904296875,30.9779675347464,30.3816144125802,0.0,0.0,-1.40784599383672,0.0,0.0
2023-09-30T22:53:20Z,0.0,0.0,4.42922626222883,0.0,104.269069126674,0.0,0.0,0.0,0.503225347242857,0.0,-6.8421052631579,0.0,21.7145080566406,0.0,0.688888888888889,31.4806213378906,-47.7358612716198,26.8827997843424,23.0216026306152,0.0,0.0,-1.14974427944981,0.0,0.0
2023-09-30T22:53:30Z,0.0,0.02,6.38291278252235,0.0,103.908719576322,0.0,0.0,0.0,0.617144285557754,0.0,-6.46464646464646,0.0,22.0260314941406,0.0,0.58,31.4806213378906,-55.0947531700134,65.7781433105469,67.7519561767578,0.0,0.0,-1.32698721289635,0.0,0.0
